CustomerId,FirstName,LastName,Country,Email,InvoiceDate,InvoiceTotal,TrackName,Composer,AlbumTitle,Genre
2,Leonie,Köhler,Germany,leonekohler@surfeu.de,2009-01-01 00:00:00,1.98,Balls to the Wall,,Balls to the Wall,Rock
2,Leonie,Köhler,Germany,leonekohler@surfeu.de,2009-01-01 00:00:00,1.98,Restless and Wild,"F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman",Restless and Wild,Rock
4,Bjørn,Hansen,Norway,bjorn.hansen@yahoo.no,2009-01-02 00:00:00,3.96,Put The Finger On You,"Angus Young, Malcolm Young, Brian Johnson",For Those About To Rock We Salute You,Rock
4,Bjørn,Hansen,Norway,bjorn.hansen@yahoo.no,2009-01-02 00:00:00,3.96,Inject The Venom,"Angus Young, Malcolm Young, Brian Johnson",For Those About To Rock We Salute You,Rock
4,Bjørn,Hansen,Norway,bjorn.hansen@yahoo.no,2009-01-02 00:00:00,3.96,Evil Walks,"Angus Young, Malcolm Young, Brian Johnson",For Those About To Rock We Salute You,Rock
4,Bjørn,Hansen,Norway,bjorn.hansen@yahoo.no,2009-01-02 00:00:00,3.96,Breaking The Rules,"Angus Young, Malcolm Young, Brian Johnson",For Those About To Rock We Salute You,Rock
8,Daan,Peeters,Belgium,daan_peeters@apple.be,2009-01-03 00:00:00,5.94,Dog Eat Dog,AC/DC,Let There Be Rock,Rock
8,Daan,Peeters,Belgium,daan_peeters@apple.be,2009-01-03 00:00:00,5.94,Overdose,AC/DC,Let There Be Rock,Rock
8,Daan,Peeters,Belgium,daan_peeters@apple.be,2009-01-03 00:00:00,5.94,Love In An Elevator,"Steven Tyler, Joe Perry",Big Ones,Rock
8,Daan,Peeters,Belgium,daan_peeters@apple.be,2009-01-03 00:00:00,5.94,Janie's Got A Gun,"Steven Tyler, Tom Hamilton",Big Ones,Rock
8,Daan,Peeters,Belgium,daan_peeters@apple.be,2009-01-03 00:00:00,5.94,Deuces Are Wild,"Steven Tyler, Jim Vallance",Big Ones,Rock
8,Daan,Peeters,Belgium,daan_peeters@apple.be,2009-01-03 00:00:00,5.94,Angel,"Steven Tyler, Desmond Child",Big Ones,Rock
14,Mark,Philips,Canada,mphilips12@shaw.ca,2009-01-06 00:00:00,8.91,Right Through You,Alanis Morissette & Glenn Ballard,Jagged Little Pill,Rock
14,Mark,Philips,Canada,mphilips12@shaw.ca,2009-01-06 00:00:00,8.91,Not The Doctor,Alanis Morissette & Glenn Ballard,Jagged Little Pill,Rock
14,Mark,Philips,Canada,mphilips12@shaw.ca,2009-01-06 00:00:00,8.91,Bleed The Freak,Jerry Cantrell,Facelift,Rock
14,Mark,Philips,Canada,mphilips12@shaw.ca,2009-01-06 00:00:00,8.91,Confusion,"Jerry Cantrell, Michael Starr, Layne Staley",Facelift,Rock
14,Mark,Philips,Canada,mphilips12@shaw.ca,2009-01-06 00:00:00,8.91,Por Causa De Você,,Warner 25 Anos,Jazz
14,Mark,Philips,Canada,mphilips12@shaw.ca,2009-01-06 00:00:00,8.91,Angela,,Warner 25 Anos,Jazz
14,Mark,Philips,Canada,mphilips12@shaw.ca,2009-01-06 00:00:00,8.91,Master Of Puppets,Apocalyptica,Plays Metallica By Four Cellos,Metal
14,Mark,Philips,Canada,mphilips12@shaw.ca,2009-01-06 00:00:00,8.91,Welcome Home (Sanitarium),Apocalyptica,Plays Metallica By Four Cellos,Metal
14,Mark,Philips,Canada,mphilips12@shaw.ca,2009-01-06 00:00:00,8.91,Set It Off,Audioslave/Chris Cornell,Audioslave,Rock
23,John,Gordon,USA,johngordon22@yahoo.com,2009-01-11 00:00:00,13.86,Your Time Has Come,"Cornell, Commerford, Morello, Wilk",Out Of Exile,Alternative & Punk
23,John,Gordon,USA,johngordon22@yahoo.com,2009-01-11 00:00:00,13.86,Dandelion,"Cornell, Commerford, Morello, Wilk",Out Of Exile,Alternative & Punk
23,John,Gordon,USA,johngordon22@yahoo.com,2009-01-11 00:00:00,13.86,Rock 'N' Roll Music,Chuck Berry,BackBeat Soundtrack,Rock And Roll
23,John,Gordon,USA,johngordon22@yahoo.com,2009-01-11 00:00:00,13.86,Moon germs,Billy Cobham,The Best Of Billy Cobham,Jazz
23,John,Gordon,USA,johngordon22@yahoo.com,2009-01-11 00:00:00,13.86,Super Terrorizer,,Alcohol Fueled Brewtality Live! [Disc 1],Metal
23,John,Gordon,USA,johngordon22@yahoo.com,2009-01-11 00:00:00,13.86,Heart Of Gold,,Alcohol Fueled Brewtality Live! [Disc 2],Metal
23,John,Gordon,USA,johngordon22@yahoo.com,2009-01-11 00:00:00,13.86,Evil Woman,,Black Sabbath,Metal
23,John,Gordon,USA,johngordon22@yahoo.com,2009-01-11 00:00:00,13.86,Cornucopia,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",Black Sabbath Vol. 4 (Remaster),Metal
23,John,Gordon,USA,johngordon22@yahoo.com,2009-01-11 00:00:00,13.86,Bowels Of The Devil,,Body Count,Alternative & Punk
23,John,Gordon,USA,johngordon22@yahoo.com,2009-01-11 00:00:00,13.86,Body Count Anthem,,Body Count,Alternative & Punk
23,John,Gordon,USA,johngordon22@yahoo.com,2009-01-11 00:00:00,13.86,Jerusalem,Roy Z,Chemical Wedding,Metal
23,John,Gordon,USA,johngordon22@yahoo.com,2009-01-11 00:00:00,13.86,When My Left Eye Jumps,Al Perkins/Willie Dixon,The Best Of Buddy Guy - The Millenium Collection,Blues
23,John,Gordon,USA,johngordon22@yahoo.com,2009-01-11 00:00:00,13.86,Meditação,Tom Jobim - Newton Mendoça,Prenda Minha,Latin
23,John,Gordon,USA,johngordon22@yahoo.com,2009-01-11 00:00:00,13.86,Esse Cara,Caetano Veloso,Prenda Minha,Latin
37,Fynn,Zimmermann,Germany,fzimmermann@yahoo.de,2009-01-19 00:00:00,0.99,"Bye, Bye Brasil",,Minha Historia,Latin
38,Niklas,Schröder,Germany,nschroder@surfeu.de,2009-02-01 00:00:00,1.98,Atras Da Porta,,Minha Historia,Latin
38,Niklas,Schröder,Germany,nschroder@surfeu.de,2009-02-01 00:00:00,1.98,Tatuagem,,Minha Historia,Latin
40,Dominique,Lefebvre,France,dominiquelefebvre@gmail.com,2009-02-01 00:00:00,1.98,Morena De Angola,,Minha Historia,Latin
40,Dominique,Lefebvre,France,dominiquelefebvre@gmail.com,2009-02-01 00:00:00,1.98,A Banda,,Minha Historia,Latin
42,Wyatt,Girard,France,wyatt.girard@yahoo.fr,2009-02-02 00:00:00,3.96,Com Açúcar E Com Afeto,,Minha Historia,Latin
42,Wyatt,Girard,France,wyatt.girard@yahoo.fr,2009-02-02 00:00:00,3.96,Meu Caro Amigo,,Minha Historia,Latin
42,Wyatt,Girard,France,wyatt.girard@yahoo.fr,2009-02-02 00:00:00,3.96,Trocando Em Miúdos,,Minha Historia,Latin
42,Wyatt,Girard,France,wyatt.girard@yahoo.fr,2009-02-02 00:00:00,3.96,Gota D'água,,Minha Historia,Latin
46,Hugh,O'Reilly,Ireland,hughoreilly@apple.ie,2009-02-03 00:00:00,5.94,Etnia,Chico Science,Afrociberdelia,Latin
46,Hugh,O'Reilly,Ireland,hughoreilly@apple.ie,2009-02-03 00:00:00,5.94,Samba Do Lado,Chico Science,Afrociberdelia,Latin
46,Hugh,O'Reilly,Ireland,hughoreilly@apple.ie,2009-02-03 00:00:00,5.94,Sobremesa,Chico Science,Afrociberdelia,Latin
46,Hugh,O'Reilly,Ireland,hughoreilly@apple.ie,2009-02-03 00:00:00,5.94,Sangue De Bairro,Chico Science,Afrociberdelia,Latin
